gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
668805576		Vitis vinifera Linnaeus (QFA0027205)	fr|en	CC0_1_0				Université Laval	PhysicalObject	2fd02649-fc08-4957-9ac5-2830e072c097	urn:lsid:biocol.org:col:15846	http://dataset.canadensys.net/qfa-vascular-specimens	Université Laval	QFA	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Université Laval	PRESERVED_SPECIMEN				QFA0027205	QFA0027205	nd	Louis-Marie, père; Vandal, J.															PRESENT	mounted																						1933-05-01/1933-05-31		121	151	1933	5		01 mai 1933 - 31 mai 1933	Rampant dans la plaine estuarienne, au pied des caps en suivant la route en passant devant la petite église de Notre-Dame des Victoires.										NORTH_AMERICA				CA	Québec			Québec.									46.813056	-71.203056												Toponymie du Québec																								Baillargeon, Guy		1979-09-10T00:00:00				https://data.canadensys.net/vascan/taxon/9544								Vitis vinifera L.	Vitis vinifera Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES		European grape	ICBN	ACCEPTED			2fd02649-fc08-4957-9ac5-2830e072c097	CA	2024-01-29T08:47:57.302Z						GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera Linnaeus		EML	2024-01-29T08:47:57.302Z	2024-01-26T19:13:44.922Z	false			false	NORTH_AMERICA	NORTH_AMERICA	CAN	Canada	CAN.11_1	Québec	CAN.11.21_1	Communauté-Urbaine-de-Québec	CAN.11.21.8_1	Québec	LC
4857128555	https://vertnet.org/resources/norms.html			CC_BY_NC_4_0	2022-02-28T15:56:01.959Z		https://webapps.cspace.berkeley.edu/ucjeps/publicsearch/publicsearch/?accession=UC34815&displayType=full&maxresults=5&start=1			http://grscicoll.org/institution/university-california-berkeley	http://biocol.org/urn:lsid:biocol.org:col:15696			UC			PRESERVED_SPECIMEN				UCJEPS:UC:UC34815	UC34815		W. C. Blasdale															PRESENT								Tissue destructively sampled for DNA analysis of Xylella fastidiosa by Adrien Rieux (CIRAD) & Rodrigo Almeida (UC), Feb 2022															1895-06-03		154	154	1895	6	3	June 3, 1895									http://vocab.getty.edu/page/tgn/7012149		NORTH_AMERICA				US	California	Tuolumne		Moccasin Creek									37.83972	-120.33806																																																		Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			83a49751-4282-481e-a847-1c5c224a0551	US	2024-05-15T09:46:00.445Z						CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera L.		EML	2024-05-15T09:46:00.445Z	2024-05-15T05:47:26.703Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.55_1	Tuolumne			LC
4857073315	https://vertnet.org/resources/norms.html			CC_BY_NC_4_0	2016-01-25T10:27:43Z		https://webapps.cspace.berkeley.edu/ucjeps/publicsearch/publicsearch/?accession=JEPS111930&displayType=full&maxresults=5&start=1			http://grscicoll.org/institution/university-california-berkeley	http://grscicoll.org/institutional-collection/jepson-herbarium			JEPS			PRESERVED_SPECIMEN				UCJEPS:JEPS:JEPS111930	JEPS111930	DGK 05.059	Dean G. Kelch;Andrew G. Murdock															PRESENT								Rare															2005-03-24		83	83	2005	3	24	March 24, 2005	Clambering on fence.								http://vocab.getty.edu/page/tgn/7012149		NORTH_AMERICA				US	California	Contra Costa		Southern Point Pinole.		3							37.993889	-122.356667																																																		Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			83a49751-4282-481e-a847-1c5c224a0551	US	2024-05-15T09:47:36.833Z						CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera L.		EML	2024-05-15T09:47:36.833Z	2024-05-15T05:47:26.703Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.7_1	Contra Costa			LC
4856963964	https://vertnet.org/resources/norms.html			CC_BY_NC_4_0	2016-02-26T10:35:24Z		https://webapps.cspace.berkeley.edu/ucjeps/publicsearch/publicsearch/?accession=UC1595283&displayType=full&maxresults=5&start=1			http://grscicoll.org/institution/university-california-berkeley	http://biocol.org/urn:lsid:biocol.org:col:15696			UC			PRESERVED_SPECIMEN				UCJEPS:UC:UC1595283	UC1595283	6380	Tim Ross															PRESENT								All presumably planted and persisting.																						17 May 1992	Numerous grapevines persisting about the foundation of old ruins and nearby on slope that descends to river.								http://vocab.getty.edu/page/tgn/7012149		NORTH_AMERICA				US	California	Los Angeles		SAN GABRIEL MTS: E Fork of the San Gabriel River; N end of Heaton Flat area; 21 deg NNE, 870m distant from East Fork Station		2040							34.2427584	-117.7600009	268.76																																																	Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			83a49751-4282-481e-a847-1c5c224a0551	US	2024-05-15T09:47:04.970Z						COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera L.		EML	2024-05-15T09:47:04.970Z	2024-05-15T05:47:26.703Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.19_1	Los Angeles			LC
4856921638	https://vertnet.org/resources/norms.html			CC_BY_NC_4_0	2020-07-08T07:28:00.401Z		https://webapps.cspace.berkeley.edu/ucjeps/publicsearch/publicsearch/?accession=UC2085209&displayType=full&maxresults=5&start=1			http://grscicoll.org/institution/university-california-berkeley	http://biocol.org/urn:lsid:biocol.org:col:15696			UC			PRESERVED_SPECIMEN				UCJEPS:UC:UC2085209	UC2085209	20909	Dean W. Taylor															PRESENT								YOSE 07357															2010-07-01		182	182	2010	7	1	July 1, 2010									http://vocab.getty.edu/page/tgn/7012149		NORTH_AMERICA				US	California	Mariposa		Yosemite National Park, Yosemite Valley, Yosemite Village, draping the porch of a park housing cottage on the far western end of the village housing section; Half Dome, CA 7.5 USGS quadrangle		4000							37.74883	-119.59124																																																		Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			83a49751-4282-481e-a847-1c5c224a0551	US	2024-05-15T09:47:15.769Z						CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera L.		EML	2024-05-15T09:47:15.769Z	2024-05-15T05:47:26.703Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.22_1	Mariposa			LC
4856552005	https://vertnet.org/resources/norms.html			CC_BY_NC_4_0	2024-05-02T10:00:58.639Z		https://webapps.cspace.berkeley.edu/ucjeps/publicsearch/publicsearch/?accession=JEPS109184&displayType=full&maxresults=5&start=1			http://grscicoll.org/institution/university-california-berkeley	http://grscicoll.org/institutional-collection/jepson-herbarium			JEPS			PRESERVED_SPECIMEN				UCJEPS:JEPS:JEPS109184	JEPS109184	20256	Dean William Taylor															PRESENT																							2008-07-02		184	184	2008	7	2	July 2, 2008	Sparingly established in vacant lots scattered about the central portion of the historic state park, the vines much much shrubby and not climbing into trees, on limestone substrate.								http://vocab.getty.edu/page/tgn/7012149		NORTH_AMERICA				US	California	Tuolumne		Sierra Nevada. Columbia. Columbia 7.5 USGS quadrangle.		2140 feet							38.0343819	-120.402075																																																		Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			83a49751-4282-481e-a847-1c5c224a0551	US	2024-05-15T09:47:35.318Z	652.0					COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera L.		EML	2024-05-15T09:47:35.318Z	2024-05-15T05:47:26.703Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.55_1	Tuolumne			LC
4856497106	https://vertnet.org/resources/norms.html			CC_BY_NC_4_0	2024-01-25T18:27:54.001Z		https://webapps.cspace.berkeley.edu/ucjeps/publicsearch/publicsearch/?accession=JEPS89287&displayType=full&maxresults=5&start=1			http://grscicoll.org/institution/university-california-berkeley	http://grscicoll.org/institutional-collection/jepson-herbarium			JEPS			PRESERVED_SPECIMEN				UCJEPS:JEPS:JEPS89287	JEPS89287		Michael R. Benedict															PRESENT								Leaf tissue removed by Kim Kersh (UC) for DNA analysis by NSF Authen Technologies. 2017.; Plant number 6; one of about 20 mature vines.															1969-09-30		273	273	1969	9	30	30 Sept 1969									http://vocab.getty.edu/page/tgn/7012149		NORTH_AMERICA				US	California	Santa Barbara		South-facing slope, east side of Canada del Puerto, above the Old Chapel, near Stanton Ranch									33.99542	-119.7155	321.87																																																	Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			83a49751-4282-481e-a847-1c5c224a0551	US	2024-05-15T09:47:29.978Z						CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera L.		EML	2024-05-15T09:47:29.978Z	2024-05-15T05:47:26.703Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara			LC
4851248368				CC_BY_4_0	2023-07-16T07:02:03Z		https://www.intermountainbiota.org/portal/collections/individual/index.php?occid=30761542				7a1ddfba-70c1-4cf6-a25c-a029d256805f		WS				PRESERVED_SPECIMEN				1a91b738-4a6c-44ab-b5ab-95270fab5215	140958	s.n.	Wilhelm N. Suksdorf							vegetative								PRESENT																							1895-07-08		189	189	1895	7	8	1895-7-8											NORTH_AMERICA				US	Washington	Klickitat		Bottomlands, Bingen.									45.715	-121.46333																																										33671								Vitis vinifera L.							Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis	Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			7b742032-9940-4da3-8c1a-3eaceaed4f1f	US	2024-05-03T13:01:33.471Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		DWC_ARCHIVE	2024-05-03T13:01:33.471Z	2024-05-03T12:51:36.025Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.48_1	Washington	USA.48.20_1	Klickitat			LC
4851248367				CC_BY_4_0	2023-07-16T07:02:03Z		https://www.intermountainbiota.org/portal/collections/individual/index.php?occid=30761539				7a1ddfba-70c1-4cf6-a25c-a029d256805f		WS				PRESERVED_SPECIMEN				8452e04c-4612-4d09-83d1-3392e7979e1e	46290	9629	H. St. John							fruiting								PRESENT								Persisting for many years, 3 localities, climbing 20 ft.															1928-07-05		187	187	1928	7	5	1928-7-5	Climbing up a tree.										NORTH_AMERICA				US	Washington	Asotin		Couse Creek.									46.205	-116.96528																																										33671								Vitis vinifera L.							Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis	Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			7b742032-9940-4da3-8c1a-3eaceaed4f1f	US	2024-05-03T13:01:33.096Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		DWC_ARCHIVE	2024-05-03T13:01:33.096Z	2024-05-03T12:51:36.025Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.48_1	Washington	USA.48.2_1	Asotin			LC
4851234936				CC_BY_4_0	2023-07-16T07:02:03Z		https://www.intermountainbiota.org/portal/collections/individual/index.php?occid=30761540				7a1ddfba-70c1-4cf6-a25c-a029d256805f		WS				PRESERVED_SPECIMEN				877ffc8a-8930-464b-b7c7-1dbb8541e7ab	140956	1711	Wilhelm N. Suksdorf							vegetative								PRESENT																							1911-09-02		245	245	1911	9	2	1911-9-2											NORTH_AMERICA				US	Oregon	Multnomah		Linnton, near Portland.									45.52361	-122.675																																										33671								Vitis vinifera L.							Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis	Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			7b742032-9940-4da3-8c1a-3eaceaed4f1f	US	2024-05-03T13:01:33.196Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		DWC_ARCHIVE	2024-05-03T13:01:33.196Z	2024-05-03T12:51:36.025Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.38_1	Oregon	USA.38.26_1	Multnomah			LC
